company,score,max_score,categories_found,reasons,top_category,top_evidence,top_source
Kosas,45,100,Competitor Usage; Growth Signals,"Competitor Usage: Kosas uses Loop Returns for managing returns and exchanges on their website. (+30) | Growth Signals: Kosas maintains active corporate and funding profiles on Crunchbase, PitchBook, and Tracxn. (+15)",Competitor Usage,Kosas uses Loop Returns for managing returns and exchanges on their website.,https://kosas.com/collections/loop-returns?page=2
Liquid Death,45,100,Competitor Usage; Growth Signals,Competitor Usage: Evidence of AfterShip usage or reviews for Liquid Death (+30) | Growth Signals: Liquid Death achieved a $1.4 billion valuation following a $67 million funding round. (+15),Growth Signals,Liquid Death achieved a $1.4 billion valuation following a $67 million funding round.,https://sacra.com/c/liquid-death/
Beardbrand,45,100,Customer Pain; Hiring Signals,Customer Pain: Customer complaint regarding inventory stockouts affecting product availability. (+25) | Hiring Signals: Beardbrand posted an opening for a YouTube & Social Media Director / Producer. (+20),Hiring Signals,Beardbrand posted an opening for a YouTube & Social Media Director / Producer.,https://www.linkedin.com/jobs/view/youtube-social-media-director-producer-at-beardbrand-3241763482
Our Place,45,100,Competitor Usage; Growth Signals,Competitor Usage: Our Place uses AfterShip to track order status for US orders. (+30) | Growth Signals: Kitchenware brand Our Place leverages ShipBob Plus to drive cost savings and optimize the customer experience. (+15),Growth Signals,Kitchenware brand Our Place leverages ShipBob Plus to drive cost savings and optimize the customer experience.,https://in.linkedin.com/in/vivek-dhavale-44523212
Jones Road Beauty,45,100,Competitor Usage; Growth Signals,Competitor Usage: Jones Road Beauty utilizes Loop Returns for managing returns and exchanges. (+30) | Growth Signals: Jones Road Beauty has scaled into a $100M brand. (+15),Competitor Usage,Jones Road Beauty utilizes Loop Returns for managing returns and exchanges.,https://www.loopreturns.com/case-studies/case-study-loop-jones-road-beauty/
Tushy,45,100,Competitor Usage; Growth Signals,Competitor Usage: Tushy uses Loop Returns for its post-purchase and tracking page experience. (+30) | Growth Signals: Tushy previously raised $2.1 million in a funding round in August 2019. (+15),Competitor Usage,Tushy uses Loop Returns for its post-purchase and tracking page experience.,https://www.loopreturns.com/swipe-file/tracking-pages/tushy-tp/
Native Deodorant,40,100,Customer Pain; Growth Signals,"Customer Pain: Customers report significant issues with delivery, product defects, and unresponsive customer service. (+25) | Growth Signals: Native continues to expand its product line and leverage Procter & Gamble's global supply chain for international expansion following its acquisition. (+15)",Growth Signals,Native continues to expand its product line and leverage Procter & Gamble's global supply chain for international expansion following its acquisition.,https://marketspy.com/news/native----the-deodorant-startup-disrupting-personal-care-with-clean-ingredients
Parade Underwear,40,100,Customer Pain; Growth Signals,Customer Pain: Customer experienced incorrect shipments of poor quality garments and received no response from customer support despite follow-ups. (+25) | Growth Signals: Parade was acquired in 2023 by Ariela & Associates International. (+15),Growth Signals,Parade was acquired in 2023 by Ariela & Associates International.,https://en.wikipedia.org/wiki/Parade_(company)
Olipop,35,100,Growth Signals; Hiring Signals,Hiring Signals: Olipop is actively hiring for a Logistics Coordinator role. (+20) | Growth Signals: Olipop raised $50 million in a Series C funding round at a $1.85 billion valuation. (+15),Growth Signals,Olipop raised $50 million in a Series C funding round at a $1.85 billion valuation.,https://www.cnbc.com/2025/02/12/olipop-prebiotic-soda-valued-at-1point85-billion-in-funding-round.html
Chubbies,30,100,Competitor Usage,Competitor Usage: Chubbies uses Loop Returns for managing and processing returns. (+30),Competitor Usage,Chubbies uses Loop Returns for managing and processing returns.,https://www.loopreturns.com/case-studies/case-study-loop-chubbies/
Outdoor Voices,30,100,Competitor Usage,Competitor Usage: Outdoor Voices utilizes Loop Returns for processing customer returns and gifts. (+30),Competitor Usage,Outdoor Voices utilizes Loop Returns for processing customer returns and gifts.,https://returns.outdoorvoices.com/gifts
Caraway,30,100,Competitor Usage,Competitor Usage: Caraway is identified as a user of Loop Returns on their home goods landing page. (+30),Competitor Usage,Caraway is identified as a user of Loop Returns on their home goods landing page.,https://www.loopreturns.com/home-goods/caraway/
Poppi,15,100,Growth Signals,Growth Signals: PepsiCo completed the acquisition of Poppi to scale its momentum and portfolio transformation. (+15),Growth Signals,PepsiCo completed the acquisition of Poppi to scale its momentum and portfolio transformation.,https://www.pepsico.com/newsroom/press-releases/2025/pepsico-completes-acquisition-of-poppi-accelerating-strategic-portfolio-transformation
Graza,15,100,Growth Signals,Growth Signals: Graza hit a $240M valuation following increased investment from The Cashmere Fund. (+15),Growth Signals,Graza hit a $240M valuation following increased investment from The Cashmere Fund.,https://www.thecashmerefund.com/blogs/graza-hits-240m-valuation---a-10x-investment-for-the-cashmere-fund
Manscaped,15,100,Growth Signals,Growth Signals: Manscaped announced a Series B funding round. (+15),Growth Signals,Manscaped announced a Series B funding round.,https://www.manscaped.com/blogs/newsroom/manscaped®-announces-series-b-funding-round
